Município1;UF1;Data;Índice De Isolamento
AMERICANA;SP;25/05/2020;44%
AMPARO;SP;25/05/2020;49%
ARAÇATUBA;SP;25/05/2020;46%
ARARAQUARA;SP;25/05/2020;46%
ARARAS;SP;25/05/2020;47%
ARUJÁ;SP;25/05/2020;50%
ASSIS;SP;25/05/2020;47%
ATIBAIA;SP;25/05/2020;47%
AVARÉ;SP;25/05/2020;50%
BARRETOS;SP;25/05/2020;43%
BARUERI;SP;25/05/2020;46%
BAURU;SP;25/05/2020;45%
BEBEDOURO;SP;25/05/2020;57%
BIRIGUI;SP;25/05/2020;47%
BOTUCATU;SP;25/05/2020;43%
BRAGANÇA PAULISTA;SP;25/05/2020;47%
CAÇAPAVA;SP;25/05/2020;52%
CAIEIRAS;SP;25/05/2020;50%
CAJAMAR;SP;25/05/2020;49%
CAMPINAS;SP;25/05/2020;48%
CAMPO LIMPO PAULISTA;SP;25/05/2020;47%
CARAGUATATUBA;SP;25/05/2020;53%
CARAPICUÍBA;SP;25/05/2020;48%
CATANDUVA;SP;25/05/2020;47%
COTIA;SP;25/05/2020;50%
CRUZEIRO;SP;25/05/2020;52%
CUBATÃO;SP;25/05/2020;49%
DIADEMA;SP;25/05/2020;48%
EMBU DAS ARTES;SP;25/05/2020;51%
FERRAZ DE VASCONCELOS;SP;25/05/2020;47%
FRANCA;SP;25/05/2020;45%
FRANCISCO MORATO;SP;25/05/2020;47%
FRANCO DA ROCHA;SP;25/05/2020;45%
GUARATINGUETÁ;SP;25/05/2020;47%
GUARUJÁ;SP;25/05/2020;50%
GUARULHOS;SP;25/05/2020;50%
HORTOLÂNDIA;SP;25/05/2020;46%
IBIÚNA;SP;25/05/2020;56%
INDAIATUBA;SP;25/05/2020;53%
ITANHAÉM;SP;25/05/2020;49%
ITAPECERICA DA SERRA;SP;25/05/2020;49%
ITAPETININGA;SP;25/05/2020;48%
ITAPEVA;SP;25/05/2020;47%
ITAPEVI;SP;25/05/2020;47%
ITAPIRA;SP;25/05/2020;48%
ITAQUAQUECETUBA;SP;25/05/2020;49%
ITATIBA;SP;25/05/2020;47%
ITU;SP;25/05/2020;48%
JABOTICABAL;SP;25/05/2020;50%
JACAREÍ;SP;25/05/2020;52%
JANDIRA;SP;25/05/2020;41%
JAÚ;SP;25/05/2020;47%
JUNDIAÍ;SP;25/05/2020;47%
LEME;SP;25/05/2020;50%
LIMEIRA;SP;25/05/2020;45%
LINS;SP;25/05/2020;47%
LORENA;SP;25/05/2020;47%
MAIRIPORÃ;SP;25/05/2020;53%
MARÍLIA;SP;25/05/2020;47%
MATÃO;SP;25/05/2020;48%
MAUÁ;SP;25/05/2020;47%
MOGI DAS CRUZES;SP;25/05/2020;52%
MOGI GUAÇU;SP;25/05/2020;50%
MOGI MIRIM;SP;25/05/2020;54%
OSASCO;SP;25/05/2020;50%
OURINHOS;SP;25/05/2020;46%
