"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"110001 Alta Floresta D'Oeste";1;3;1;1;-;-;6
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;-
"110040 Alto Paraíso";-;-;-;-;-;-;-
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-
"110002 Ariquemes";44;35;14;12;-;-;105
"110045 Buritis";6;3;14;8;1;2;34
"110003 Cabixi";-;-;-;-;-;-;-
"110060 Cacaulândia";-;-;-;-;-;-;-
"110004 Cacoal";20;29;19;5;-;-;73
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-
"110080 Candeias do Jamari";-;-;-;-;-;-;-
"110090 Castanheiras";-;-;-;-;-;-;-
"110005 Cerejeiras";-;-;-;-;-;-;-
"110092 Chupinguaia";-;-;-;-;-;-;-
"110006 Colorado do Oeste";-;-;-;-;-;-;-
"110007 Corumbiara";-;-;-;-;-;-;-
"110008 Costa Marques";-;-;-;-;-;-;-
"110094 Cujubim";-;-;-;-;-;-;-
"110009 Espigão D'Oeste";4;11;2;1;-;-;18
"110100 Governador Jorge Teixeira";-;1;-;-;-;-;1
"110010 Guajará-Mirim";-;6;3;-;-;-;9
"110110 Itapuã do Oeste";-;-;-;-;-;-;-
"110011 Jaru";4;3;8;-;-;-;15
"110012 Ji-Paraná";28;9;30;14;15;-;96
"110013 Machadinho D'Oeste";-;-;-;-;-;-;-
"110120 Ministro Andreazza";-;-;-;-;-;-;-
"110130 Mirante da Serra";-;-;-;-;-;-;-
"110140 Monte Negro";-;-;-;-;-;-;-
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-
"110033 Nova Mamoré";-;-;-;-;-;-;-
"110143 Nova União";-;-;-;-;-;-;-
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-
"110015 Ouro Preto do Oeste";23;23;17;9;-;-;72
"110145 Parecis";-;-;-;-;-;-;-
"110018 Pimenta Bueno";-;-;12;-;-;-;12
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-
"110020 Porto Velho";171;264;64;10;5;8;522
"110025 Presidente Médici";-;-;-;-;-;-;-
"110147 Primavera de Rondônia";-;-;-;-;-;-;-
"110026 Rio Crespo";-;-;-;-;-;-;-
"110028 Rolim de Moura";2;7;5;2;-;-;16
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-
"110149 São Francisco do Guaporé";-;-;-;-;-;-;-
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-
"110150 Seringueiras";-;-;-;-;-;-;-
"110155 Teixeirópolis";-;-;-;-;-;-;-
"110160 Theobroma";-;-;-;-;-;-;-
"110170 Urupá";-;-;-;-;-;-;-
"110175 Vale do Anari";-;-;-;-;-;-;-
"110180 Vale do Paraíso";-;-;-;-;-;-;-
"110030 Vilhena";7;6;2;2;2;-;19
"110000 Município ignorado - RO";-;-;-;-;-;-;-
"120001 Acrelândia";-;-;-;-;-;-;-
"120005 Assis Brasil";-;-;-;-;-;-;-
"120010 Brasiléia";-;6;-;-;-;-;6
"120013 Bujari";-;-;-;-;-;-;-
"120017 Capixaba";-;-;-;-;-;-;-
"120020 Cruzeiro do Sul";7;2;5;-;-;-;14
"120025 Epitaciolândia";-;-;-;-;-;-;-
"120030 Feijó";-;-;-;-;-;-;-
"120032 Jordão";-;-;-;-;-;-;-
"120033 Mâncio Lima";-;-;-;-;-;-;-
"120034 Manoel Urbano";-;-;-;-;-;-;-
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-
"120038 Plácido de Castro";-;-;-;-;-;-;-
"120080 Porto Acre";-;-;-;-;-;-;-
"120039 Porto Walter";-;-;-;-;-;-;-
"120040 Rio Branco";41;25;4;42;2;-;114
"120042 Rodrigues Alves";-;-;-;-;-;-;-
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-
"120050 Sena Madureira";-;-;-;-;-;-;-
"120045 Senador Guiomard";-;-;-;-;-;-;-
"120060 Tarauacá";-;-;-;-;-;-;-
"120070 Xapuri";-;-;-;-;-;-;-
"120000 Município ignorado - AC";-;-;-;-;-;-;-
"130002 Alvarães";-;-;-;-;-;-;-
"130006 Amaturá";-;-;-;-;-;-;-
"130008 Anamã";-;-;-;-;-;-;-
"130010 Anori";-;-;-;-;-;-;-
"130014 Apuí";-;-;-;-;-;-;-
"130020 Atalaia do Norte";-;-;-;-;-;-;-
"130030 Autazes";-;-;-;-;-;-;-
"130040 Barcelos";-;-;-;-;-;-;-
"130050 Barreirinha";-;-;-;-;-;-;-
"130060 Benjamin Constant";-;-;-;-;-;-;-
"130063 Beruri";-;-;-;-;-;-;-
